gene	degree	betweenness	module
ENSG00000143632.14	11	10.5833333333333	M1
ENSG00000092054.12	11	1.99761904761905	M1
ENSG00000198125.12	11	10.5833333333333	M1
ENSG00000111245.14	11	1.99761904761905	M1
ENSG00000105048.16	11	1.99761904761905	M1
ENSG00000159173.18	11	14.047619047619	M1
ENSG00000114854.7	11	1.99761904761905	M1
ENSG00000173991.5	11	14.047619047619	M1
ENSG00000143549.19	10	4.25	M1
ENSG00000164879.6	9	8.45	M1
ENSG00000198467.13	8	0.714285714285714	M1
ENSG00000198727.2	7	3.2	M3
ENSG00000077522.12	7	0	M1
ENSG00000198886.2	6	0.2	M3
ENSG00000198899.2	6	0.2	M3
ENSG00000198712.1	6	2	M3
ENSG00000198888.2	6	0.2	M3
ENSG00000228253.1	6	0.2	M3
ENSG00000198763.3	5	0	M3
ENSG00000112096.16	4	28	M5
ENSG00000174437.16	4	0.333333333333333	M1
ENSG00000155657.26	3	0.5	M4
ENSG00000104879.4	3	0	M1
ENSG00000237298.9	3	0.5	M4
ENSG00000198938.2	2	0	M3
ENSG00000183091.19	2	0	M4
ENSG00000164309.14	2	0	M4
ENSG00000156804.7	2	15	M5
ENSG00000198804.2	1	0	M2
ENSG00000198786.2	1	0	M8
ENSG00000004799.7	1	0	M11
ENSG00000198695.2	1	0	M8
ENSG00000135821.17	1	0	M11
ENSG00000111640.14	1	0	M16
ENSG00000237973.1	1	0	M2
ENSG00000149925.17	1	0	M16
ENSG00000172403.10	1	0	M5
ENSG00000210082.2	0	0	M6
ENSG00000128591.15	0	0	M7
ENSG00000175084.11	0	0	M9
ENSG00000109061.9	0	0	M10
ENSG00000196091.13	0	0	M12
ENSG00000125414.18	0	0	M13
ENSG00000150991.14	0	0	M14
ENSG00000022267.16	0	0	M15
ENSG00000109846.7	0	0	M17
ENSG00000239474.6	0	0	M18
ENSG00000196296.13	0	0	M19
ENSG00000245532.7	0	0	M20
ENSG00000130595.17	0	0	M21
